,name,rating,reviews,salary,interviews,jobs
1833,Columbia Asia,4.6,594,1.4k,19,--
1834,Ugam Solution,3.6,594,3.5k,51,--
1835,Maxicus,4.0,593,717,135,--
1836,Bridge & Roof Co,3.4,592,2.5k,27,--
1837,Sanghi Industries,4.0,592,2.2k,77,--
1838,United Colors of Benetton,4.3,591,1.3k,24,4
1839,Medley Pharmaceuticals,3.9,591,1.8k,38,12
1840,Medley Pharmaceuticals,3.9,591,1.8k,38,12
1841,Pathkind Diagnostics Private Limited,4.0,590,1.8k,54,11
1842,EdgeVerve Systems,3.2,590,4.1k,68,23
1843,Accion Labs,3.5,590,4.8k,82,50
1844,Inspira Enterprise India Limited,3.6,590,3.5k,51,3
1845,Consulting Engineers Group,4.1,590,1.7k,48,10
1846,DealShare,3.5,591,2.6k,42,--
1847,Lulu International Shopping Mall,3.7,591,2.5k,43,29
1848,IDP Education Limited,3.6,589,2.5k,69,20
1849,The Saraswat Co-operative Bank,3.2,589,3k,28,8
1850,Vadilal Industries,4.1,588,1.7k,38,4
1851,ShareChat,3.6,588,2.6k,87,10
1852,Perficient,3.7,591,4.5k,48,11
1853,Kellogg,4.2,587,2.2k,31,4
1854,Saudi Aramco,4.5,587,1.4k,61,--
1855,Excitel Broadband,3.6,587,1.9k,58,4
1856,Affinity Express,2.8,587,2.4k,39,--
1857,NLC India Limited,4.4,585,1.2k,29,--
1858,Orra Fine Jewellery,3.5,585,1.7k,50,21
1859,HLL Lifecare,3.7,585,1.8k,45,--
1860,Cvent,3.3,585,4.8k,102,117
1861,Ascent HR Technologies Private Limited,3.6,584,1.7k,46,--
1862,AVTEC,3.5,585,2.1k,26,17
1863,Pamac Finserve,3.2,583,1.7k,32,1
1864,FNP,3.7,583,2.4k,71,18
1865,Efs Facilities Services,3.7,583,1.4k,36,20
1866,Apitoria Pharma,4.2,583,829,39,7
1867,Gandhi Automations,4.0,582,1.3k,41,1
1868,BAXY Limited,4.1,582,2k,30,--
1869,Hettich,3.6,582,2.4k,44,13
1870,Aurionpro Solutions,3.5,582,3.6k,38,17
1871,Maharashtra State Electricity Distribution Company,4.2,583,1.2k,24,--
1872,Expleo Group,3.5,582,5.7k,48,52
1873,Coal India,3.9,581,1.9k,52,--
1874,C5i,4.2,582,2.8k,54,22
1875,Capital Numbers Infotech,4.1,580,1.2k,47,11
1876,Jindal Poly Films,3.7,580,2.4k,39,--
1877,Alcon,3.8,580,2.9k,44,24
1878,PTC,4.2,579,3.9k,69,173
1879,BEML,3.7,579,1.7k,29,--
1880,Dr. Reddy's Foundation,3.7,579,1.7k,56,39
1881,Axiscades,3.1,579,3.8k,64,--
1882,Colt Technology Services,4.2,579,3.3k,25,11
1883,Jubilant Generics,4.0,578,2.3k,20,--
1884,Hilton,4.1,578,1.5k,28,269
1885,Fenesta Building Systems,4.0,577,2k,40,19
1886,Allianz Services,4.1,577,2.4k,33,12
1887,Country Delight,3.9,577,2.4k,43,5
1888,Iron Mountain Inc,3.7,576,3k,31,123
1889,Army Public School,4.0,576,1.2k,41,--
1890,GAMMON INDIA,3.7,576,1.1k,31,--
1891,PureSoftware,2.9,576,3.7k,68,48
1892,Kauvery Hospital,4.0,575,2.2k,37,11
1893,HUDL,3.2,576,1.9k,62,--
1894,Quest Retail Private Limited,4.1,575,916,15,2
1895,PayU Payments,3.3,575,4.3k,68,137
1896,Crystal Crop Protection,3.9,574,1.8k,25,2
1897,Damco Solutions,3.5,575,2.2k,44,15
1898,Prochant,3.8,573,2.3k,68,47
1899,Wood Group,3.8,573,2.8k,68,62
1900,WayCool Foods and Products,3.4,572,2.8k,42,--
1901,Maxop Engineering Co.,4.1,572,2.3k,49,6
1902,AVIOM,4.0,571,1.2k,31,1
1903,J K Fenner,3.9,571,2k,35,11
1904,Matrimonialsindia,4.9,571,117,13,--
1905,Ambit Finvest,4.0,570,1.9k,28,1
1906,Jaipur Rugs,4.3,569,845,64,4
1907,Applied Materials,3.7,569,4.8k,90,148
1908,McCain Foods,4.0,569,1.7k,37,4
1909,QSpiders,3.7,569,1.8k,98,--
1910,HBL Power Systems,4.0,570,2.1k,33,7
1911,Pinnacle Infotech,3.4,568,2.8k,61,19
1912,AVEVA,4.0,568,1.9k,31,52
1913,TSYS|Total System Services,4.1,567,4.2k,68,2
1914,Laxmi Organic Industries,3.8,567,2.1k,45,12
1915,ArcelorMittal,4.0,567,3.1k,42,26
1916,Transport Corporation Of India,3.8,567,1.9k,38,--
1917,Empower,4.0,567,4.2k,60,77
1918,Amway India Enterprises,4.1,567,2.1k,19,14
1919,Toyota Industries Engine India,4.3,566,1.5k,31,--
1920,Micromax Informatics,3.9,566,1.3k,23,--
1921,Baker Hughes,4.0,566,4.1k,65,102
1922,Paras Dairy,3.4,566,1.6k,31,3
1923,Lear Corporation,4.0,566,2.9k,25,11
1924,"DATAMARK, Inc.",3.4,566,1.7k,34,40
1925,Genesys International Corporation,3.4,566,2.4k,21,2
1926,Dishman Carbogen Amcis,3.6,566,2.1k,36,56
1927,Andritz Hydro Location India,3.9,565,2.8k,34,10
1928,Paramount Health Services Tpa,3.8,565,2.3k,35,21
1929,SAEL Industries Limited,4.0,565,2k,50,34
1930,Congruex Asia Pacific,3.7,565,2.3k,68,4
1931,Voyants Solutions,3.7,564,1.7k,58,205
1932,SoftAge Information Technology,3.6,564,912,23,12
1933,DB Schenker,4.3,564,2.3k,26,--
1934,BUSINESSNEXT,3.5,563,3.8k,76,17
1935,UTL Solar,3.6,563,1.8k,62,42
1936,Levi Strauss & Co.,4.2,563,2k,33,17
1937,Vishwa Samudra Engineering,3.6,562,1.6k,36,9
1938,Western Refrigeration,3.8,560,2.3k,41,36
1939,Prestige Group,4.3,559,2.6k,50,14
1940,MR.DIY,3.4,560,1.4k,51,5
1941,Mahendra NextWealth IT,3.4,559,1.9k,26,5
1942,United Spirits,4.1,559,1.5k,15,6
1943,Marelli,3.5,559,2.8k,45,--
1944,Titan Engineering & Automation,3.8,558,2.8k,37,6
1945,Sandoz,4.0,559,2.4k,26,7
1946,Toothsi,2.7,557,2.2k,67,--
1947,Artemis Hospitals,4.1,558,1.5k,20,8
1948,Bajaj Consumer Care,3.8,557,1.4k,34,4
1949,Solara Active Pharma Sciences,3.7,558,2.8k,44,2
1950,MITS Global Consulting,4.5,557,925,43,--
1951,Renault,4.0,556,1.9k,33,--
1952,NAV Backoffice,3.8,557,2.4k,37,2
1953,Harman Finochem,3.6,556,2.8k,44,19
1954,Unified Mentor,4.1,555,401,128,4
1955,Navin Fluorine International,3.8,555,2.6k,30,3
1956,Datamatics Business Solutions,3.3,555,2.5k,46,15
1957,Courtyard by Marriott,4.2,554,1.1k,25,--
1958,LendingKart,3.6,555,2.6k,39,32
1959,Z X Learning,4.3,553,359,44,--
1960,Z X Learning,4.3,553,359,44,--
1961,Innominds Software,3.2,553,4.7k,49,42
1962,Premier Energies,4.0,554,2k,47,11
1963,Herbalife International,4.0,552,2.6k,30,10
1964,The Times of India,3.6,552,2.9k,45,--
1965,Carlsberg,3.9,552,1.8k,38,13
1966,Kellogg Brown and Root,4.1,551,2.3k,41,44
1967,Practo,3.0,551,3k,83,35
1968,FiveS Digital,3.3,551,1.5k,57,7
1969,L & W Constructions,3.9,551,1.8k,28,1
1970,Enco Engineers Combine,3.7,549,1.5k,36,--
1971,GSPANN Technologies,4.1,550,3.6k,49,76
1972,Unimoni,3.8,550,2k,18,3
1973,Indecomm Global Services,4.1,550,2.6k,29,1
1974,Hitachi Cash Management Services,3.2,550,1.3k,42,9
1975,BLK Super Speciality Hospital,3.9,550,1.5k,34,--
1976,Bharat Fritz Werner,3.9,551,2.4k,33,11
1977,Propertypistol Realty,3.8,550,2k,80,42
1978,Craftsman Automation,3.9,549,2.4k,24,--
1979,WPP Media,3.6,549,4k,43,5
1980,AM Infoweb,3.8,549,1.4k,87,23
1981,Virtual Employee,3.3,549,3.1k,51,--
1982,Inox Wind,3.7,548,1.8k,49,4
1983,Sulzer,3.9,546,2.7k,36,2
1984,Macawber Beekay,4.2,547,1.7k,25,17
1985,My Home Constructions,4.3,546,2.2k,35,12
1986,Maini Precision Products,3.4,545,2.8k,40,16
1987,IKF Finance,3.9,545,1.4k,28,6
1988,RAK Ceramics,3.7,545,1.7k,32,12
1989,Utility Powertech,3.8,544,1.7k,30,--
1990,Gayatri Projects,3.9,544,1.8k,40,11
1991,General Motors,4.0,544,2.1k,34,12
1992,RuralShores,3.6,543,1.1k,23,5
1993,Magma General Insurance Limited,3.8,563,2.3k,39,29
1994,Fena,4.0,543,1.5k,33,9
1995,Yokohama,3.6,543,2.1k,27,3
1996,Hi Tech Gears,3.9,543,2.1k,32,--
1997,Offshore Infrastructures,4.2,542,1.7k,25,--
1998,Roop Polymers,3.9,542,1.8k,30,16
1999,Haldiram Snacks,3.9,542,1.8k,23,22
2000,Zolo,3.4,541,2.1k,60,8
2001,RadiSys,3.8,541,2.5k,51,--
2002,Vimta Labs,3.5,541,2.2k,42,12
2003,Kidzee,4.0,541,1.2k,25,--
2004,Tracxn,2.6,542,2.5k,113,71
2005,Sanmina Sci,4.1,541,2.7k,33,23
2006,Eicher Motors,4.0,541,1.6k,42,--
2007,Welspun Enterprises,4.2,540,1.8k,54,3
2008,Regalix,2.7,540,2.8k,58,62
2009,Innovatiview India Ltd,4.2,540,1.3k,80,20
2010,Maxgen Technologies,4.5,540,1.1k,14,--
2011,Allianz Partners,3.7,540,2.7k,39,--
2012,Dhani Healthcare,3.4,540,2.3k,59,--
2013,Micron Electricals,4.1,539,2.3k,37,2
2014,NMDC Limited,4.1,539,2k,46,--
2015,Ralson Tyres Limited,3.7,539,2.2k,48,8
2016,Zycus Infotech,2.6,538,3.2k,76,47
2017,Insuremile,4.7,538,77,83,1
2018,Dusters Total Solutions Services,3.9,538,1.6k,21,2
2019,GUS Education India,3.1,537,2.1k,50,15
2020,S P Singla Constructions,3.5,537,1.6k,37,--
2021,Brigade Group,4.1,536,2.6k,45,40
2022,Sterling,4.0,536,1k,37,--
2023,Scaler Academy,3.5,536,2.5k,92,5
2024,MUTHOOT HOMEFIN (I) LTD.,3.8,536,1.4k,32,3
2025,RMC Readymix,3.6,535,1.4k,42,5
2026,Adani Cement,3.5,536,2k,57,--
2027,Cpf India,4.1,535,1.7k,25,1
2028,BOBCARD Ltd.,4.0,535,1.4k,30,21
2029,Icl Fincorp,4.7,557,623,110,6
2030,Bharti Infratel,4.7,535,1.1k,6,--
2031,5paisa Capital Ltd.,4.1,534,1.6k,46,5
2032,DFM Foods,4.0,534,1.6k,37,18
2033,Reliance Life Sciences,3.6,532,2.6k,30,6
2034,Legrand,3.7,532,2.3k,28,--
2035,ExxonMobil,3.8,532,3.9k,83,378
2036,Mecon,3.9,533,1.8k,45,--
2037,Infiniti Research,3.4,532,1.7k,38,11
2038,Pierian Services,3.3,531,2.8k,40,21
2039,Hitachi Systems,3.9,532,2.8k,19,3
2040,Bharat Gears,4.0,531,2.1k,27,3
2041,Vidal Health Insurance,3.7,532,1.9k,22,--
2042,CompuCom,3.8,530,3.1k,37,13
2043,Canon,4.0,530,2k,22,5
2044,FMC Corporation,3.9,529,1.7k,42,2
2045,Vestige,4.3,529,1.4k,40,--
2046,Amara Raja Infra,4.0,530,1.5k,56,--
2047,India Private Driver,3.8,529,2,--,--
2048,DM Immigration Consultant,1.0,529,34,--,--
2049,Systra Consulting,4.0,529,1.6k,37,466
2050,Emaar India Limited,3.6,529,2.4k,28,4
2051,Aptus Value Housing Finance India,4.1,528,1.3k,22,7
2052,N.C.L. Industries,3.7,528,1.6k,38,3
2053,Saksoft,3.5,529,3.5k,50,9
2054,Uttar Pradesh Power Corporation,4.0,528,1.3k,11,--
2055,Chemplast Sanmar,3.4,528,2.4k,47,9
2056,Wellness Forever Medicare,3.8,528,1.7k,56,2
2057,Satyam Auto Components,3.9,529,2.3k,40,3
2058,Consero Global Solutions,3.0,527,2.6k,101,--
2059,Castrol,4.3,527,1.9k,24,83
2060,V.S.T Tillers Tractors,3.5,527,1.9k,42,7
2061,CDK Global,3.8,526,3.5k,40,26
2062,House Of Anita Dongre,4.0,526,1.4k,19,4
2063,CTS Consulting & Technical Support,3.7,526,6.6k,174,--
2064,Capital Business Systems,3.6,526,1.6k,37,12
2065,Stock Holding Corporation of India,3.5,525,1.7k,35,--
2066,Indian Bank,3.4,525,1.8k,27,--
2067,Telenor,4.1,525,582,9,--
2068,Tuaman Engineering,4.3,525,1.5k,75,--
2069,Chaayos,3.4,524,1.6k,38,12
2070,Metro Group of Hospitals,3.8,524,1.3k,16,52
2071,Wockhardt Hospital,3.9,524,1.7k,23,23
2072,Spectrum Talent Management,3.5,523,2.1k,36,--
2073,Hafele,3.9,523,2.3k,32,4
2074,Suprajit Engineering,3.9,523,2.4k,40,12
2075,RSB Transmissions,3.9,522,2.1k,38,--
2076,EC-Council,4.1,522,2.5k,50,14
2077,JK Tech,3.8,522,3.2k,39,4
2078,Metalman Auto,3.9,522,1.9k,25,27
2079,Tradeshala,4.5,521,35,119,--
2080,Williams Lea,3.6,521,3.1k,49,13
2081,Hitech Projects Limited,4.6,520,669,58,--
2082,ACTE,4.6,520,114,9,--
2083,Mobikwik,3.4,520,2.5k,63,33
2084,Foray Software,3.5,520,3.5k,39,39
2085,OutworX,3.5,520,2.2k,35,4
2086,Coats,3.6,519,1.9k,27,52
2087,Ge India Industrial,4.1,519,2k,19,--
2088,Pitti Engineering,3.8,519,2k,28,--
2089,Morepen Laboratories,3.8,519,1.9k,24,39
2090,Insolutions Global,3.4,520,2.7k,36,11
2091,Ramraj Cotton,4.1,519,1.1k,42,11
2092,Metriqe Solutions,3.9,519,1.4k,28,3
2093,African Industries,4.0,518,1.1k,41,5
2094,Galaxy Surfactants,3.9,518,2k,28,7
2095,Dr. Agarwal's Eye Hospital,3.8,518,1.7k,37,60
2096,Ziqitza Health Care,3.9,517,1.2k,25,--
2097,Equifax,4.0,517,2.5k,76,18
2098,SunTec Web Services,3.2,518,1.8k,51,14
2099,Kokilaben Dhirubhai Ambani Hospital,3.7,518,1.7k,31,45
2100,DiGibizz,,--,1,--,--
2101,F1 Info Solutions and Services,3.7,516,1.2k,27,--
2102,ATS Infrastructure,4.1,515,1.8k,34,1
2103,AT&T,3.7,515,4.6k,65,10
2104,Amar Ujala,3.9,515,1.7k,20,1
2105,Safari Industries India,4.0,515,1.8k,36,7
2106,CMR Green Technologies,3.4,516,1.7k,57,74
2107,Atomberg Technologies,3.8,516,2.4k,41,20
2108,Hero Cycles,3.2,515,1.9k,58,9
2109,Macquarie Group,3.1,515,4.6k,54,107
2110,LearningMate Solutions,2.9,515,3.6k,50,39
2111,Lakme,4.2,515,1.6k,25,11
2112,OMICS International,2.5,514,1.6k,25,--
2113,Karvy Data Management Services,3.8,514,2.2k,19,--
2114,Stylebaazar,4.0,515,1.1k,38,13
2115,Quikr,3.6,514,2.1k,33,10
2116,PEGATRON,3.9,514,2.1k,29,1
2117,Micron Technology,3.6,513,4.4k,82,24
2118,Vivanta by Taj,4.2,513,1k,28,--
2119,Addverb Technologies,3.5,513,2.4k,88,12
2120,Micron Technology,3.6,513,4.4k,82,24
2121,Vivanta by Taj,4.2,513,1k,28,--
2122,Hindusthan National Glass,3.7,513,2k,33,--
2123,Webskitters,3.8,513,841,19,--
2124,Nivea,4.1,512,1.8k,32,12
2125,Innovaccer,3.3,511,3.5k,96,20
2126,RSM India,3.3,511,2.6k,67,14
2127,BharatPe,3.4,511,2.6k,52,5
2128,Great Learning,3.4,510,3.8k,69,28
2129,Dalmia Bharat Group,3.9,510,2k,35,--
2130,Adda 247,3.6,511,1.8k,78,33
2131,Axa XL,3.6,510,3.7k,51,65
2132,HSBC Global Banking and Markets,3.9,510,3.5k,29,--
2133,Cairn Energy,3.6,509,2.9k,33,--
2134,Securitas,3.8,509,1.9k,38,7
2135,Alight Solutions,3.4,509,2.8k,31,6
2136,Cuemath,3.4,510,1.9k,49,30
2137,Centum Learning,3.8,509,1.3k,26,6
2138,Voya India,3.7,509,3.1k,31,6
2139,Mobile Programming,2.9,508,3.6k,80,264
2140,RapiPay,3.6,507,1.7k,39,--
2141,National Australia Bank,2.9,509,3.8k,58,24
2142,Muthoottu Mini Financiers,3.5,508,1.3k,27,11
2143,TÜV Rheinland,4.1,507,1.8k,21,3
2144,Sheela Foam,3.9,507,1.5k,31,16
2145,Walkaroo International,3.6,507,2.3k,48,103
2146,Poorvika Mobiles,4.0,507,1.7k,33,3
2147,Ministry of Defence,4.4,507,1.8k,19,--
2148,Sarovar Hotels & Resorts,4.1,506,1.4k,20,--
2149,QHTalbros,3.8,506,1.4k,18,--
2150,Johnson Matthey,3.8,505,1.9k,42,10
2151,Voltech,3.5,505,1.6k,34,--
2152,Kandhari Beverages,3.8,506,1.6k,32,7
2153,Pace Setters Business Solutions,3.4,504,1.3k,23,2
2154,ServiceNow,3.9,504,5.8k,138,1
2155,Alchemy Techsol India,3.4,504,2.1k,91,--
2156,Nelito System,3.2,503,2.4k,30,32
2157,BKT Tyres,4.2,503,2k,79,4
2158,BCG,3.6,503,7.9k,221,19
2159,Gyan Dairy,4.0,503,1.3k,49,7
2160,Rakuten,3.5,502,5.5k,93,10
2161,ThoughtSol Infotech Limited,4.6,502,585,97,4
2162,CARE,4.3,501,1.2k,41,--
2163,Kalyani Technoforge,3.8,501,1.9k,22,8
2164,Deloitte Digital,3.8,501,3.2k,62,--
2165,Jindal Power Limited,4.3,501,1.6k,54,9
2166,Lotus Herbals Private Limited,4.1,500,1.5k,46,2
2167,BharatMatrimony.com,3.9,500,1.4k,24,--
2168,QBurst Technologies,4.2,501,4.1k,87,1
2169,Markets and Markets,2.7,500,2.7k,63,12
2170,MindGate Solutions,3.1,500,3.2k,78,1
2171,Akal Information Systems,4.4,501,1.8k,26,17
2172,Emerson Electric Co.,4.0,500,3.2k,58,187
2173,Communications Test Design,3.7,499,1.7k,31,29
2174,ZEISS India,3.6,499,2.7k,34,15
2175,Rusan Pharma,3.5,499,1.9k,25,14
2176,TRINAMIX,4.4,499,945,64,37
2177,LIC Housing Finance,3.9,498,1.5k,21,--
2178,Vakrangee,3.5,498,1.1k,9,--
2179,Epiroc,4.1,498,2.4k,44,52
2180,Epiroc,4.1,498,2.4k,44,52
2181,Mars International India,4.1,498,1.7k,19,23
2182,Future Lifestyle Fashion,4.2,497,1.6k,8,--
2183,Hinduja Tech,3.1,497,3.2k,34,103
2184,Techwave Consulting,3.7,497,3.6k,42,22
2185,Aparna Enterprises,3.9,497,1.8k,39,11
2186,InCred Finance,3.9,497,2.5k,33,25
2187,Pepperfry,3.1,496,2k,34,--
2188,Varuna Integrated Logistics,3.8,496,1.6k,37,8
2189,2COMS,3.1,495,1.4k,60,376
2190,Global Autotech,4.0,495,2.1k,52,2
2191,Value Point Systems,3.5,495,2.2k,29,50
2192,QUICK HEAL TECHNOLOGIES,3.6,494,2.6k,31,2
2193,Orcapod Consulting Services,3.1,493,1.9k,34,6
2194,Kirby Building Systems,4.0,493,1.9k,25,3
2195,Romsons Group Of Industries,3.7,493,1.7k,37,15
2196,HealthifyMe,2.7,492,1.6k,51,11
2197,Athenahealth Technology,4.0,492,4k,91,113
2198,Tractebel,4.0,492,1.7k,46,11
2199,Medikabazaar,4.2,491,945,14,1
2200,Think Gas Ludhiana,3.6,491,2.3k,51,1
2201,India Post,3.7,491,1.5k,24,--
2202,Par Health,4.1,492,2.1k,28,1
2203,Texmo Industries,3.8,491,1.6k,27,2
2204,Head Field Solutions,4.3,491,1.3k,66,--
2205,Maersk Line,4.1,490,2.4k,34,--
2206,Signature Global,3.9,490,2.2k,45,7
2207,Sri Krishna Pharmaceuticals,3.9,490,1.8k,17,3
2208,Ascent Business Solutions,3.3,489,2.8k,32,--
2209,GD Goenka Public School,3.4,489,1.3k,48,23
2210,NJ India Invest,3.7,489,1k,55,32
2211,SUEZ Group,4.1,489,2k,21,3
2212,Mahanagar Gas,4.2,488,2.2k,32,3
2213,Gilbarco Veeder Root,3.8,488,2.1k,29,14
2214,MediBuddy,3.3,488,2.4k,42,57
2215,CollegeDekho,2.7,488,2.5k,66,6
2216,N+A,3.9,487,18.3k,172,5
2217,India Glycols,4.0,487,1.9k,39,1
2218,Infotact Solutions,4.4,487,47,117,--
2219,Invesco,3.7,487,3.3k,52,64
2220,PC Solutions,4.1,487,1.3k,57,21
2221,MathCo,3.0,487,3k,134,29
2222,Otsuka Pharmaceutical India Private Limited,4.1,487,1.6k,28,33
2223,LogixHealth,3.4,487,2.2k,21,15
2224,Bira 91,3.3,487,1.5k,29,--
2225,Protium Finance,3.7,487,2.1k,37,6
2226,Ivrcl Infrastructures & Projects,4.3,486,844,9,3
2227,Go First,3.9,486,2k,50,--
2228,Vindhya e-Info Media,3.5,486,1.1k,28,2
2229,Juniper Networks,4.2,487,4.4k,76,--
2230,Leighton Contractors,4.0,486,1.1k,24,11
2231,ASM Technologies,3.5,486,3.5k,46,28
2232,Sterling Holiday Resort,3.8,485,1.5k,23,6
2233,Flowserve,3.7,485,3.3k,36,21
2234,C-Edge Technologies,3.6,485,2.7k,27,5
2235,Vishvaraj Environment,4.0,485,1.9k,35,6
2236,Matrix Business Services,3.5,484,2k,44,11
2237,KRBL Limited,3.7,484,1.6k,38,2
2238,Jiva Ayurvedic Pharmacy,3.7,484,1.2k,43,38
2239,Trimax IT Infrastructure Services,3.6,484,1.1k,13,--
2240,Symbiotec Pharmalab,4.0,484,2k,30,8
2241,Paytm Payments Services,3.2,485,1.1k,21,3
2242,Cosmo Films,3.7,483,2.1k,40,16
2243,EID Parry (India),3.9,483,1.5k,26,11
2244,Siemens Healthineers,4.0,483,4.1k,70,--
2245,Buzzworks Business Services,3.6,483,2.1k,20,6
2246,Sadbhav Engineering,4.2,483,1.2k,10,--
2247,Quinnox,3.9,483,3.4k,41,35
2248,Lite Bite Foods,4.4,482,1.3k,22,11
2249,Saud Bahwan Group,3.7,482,984,14,--
2250,Bridgestone India Automotive Products,4.1,482,2.2k,29,--
2251,Grindwell Norton,3.5,482,1.7k,28,--
2252,Cadbury,4.3,482,1k,28,61
2253,Bluestone.com,3.4,482,2.1k,59,6
2254,Plastic Omnium,3.8,482,2k,31,29
2255,Giesecke & Devrient,3.4,481,2.2k,33,8
2256,Namaste India Foods,3.9,482,1.2k,27,--
2257,Ppap Automotive,3.7,481,1.8k,43,--
2258,Knowledgeworks Global,3.0,480,2.2k,34,14
2259,Xerox,3.6,480,2.1k,25,39
2260,L. N. Malviya Infra Projects Group,3.1,480,1.2k,27,9
2261,Kellton,2.9,481,3.4k,64,5
2262,Jumbotail Technologies,3.7,479,1.7k,39,4
2263,Alpla,4.0,479,1.7k,35,24
2264,Visa,3.3,480,6.7k,162,--
2265,Equiniti,3.7,479,3.2k,44,15
2266,AIG Hospital,4.2,479,1.6k,33,--
2267,Tetra Pak,4.1,478,2.4k,43,30
2268,Westin,4.1,478,1.2k,21,4
2269,Clix Capital Services,4.1,478,1.5k,30,835
2270,National Commodities Management Services,4.1,478,1.4k,16,3
2271,Akamai Technologies,4.4,478,4.3k,79,23
2272,Allana Group of Companies,3.8,478,1.5k,39,--
2273,Encube Ethicals,3.7,477,2.4k,28,15
2274,Iol Chemicals & Pharmaceuticals,3.8,477,1.9k,32,2
2275,Fynd,3.0,477,2.2k,74,20
2276,Mikuni,4.1,477,1.4k,27,1
2277,Riya Travel,3.6,477,1.5k,14,4
2278,ESDS Software Solutions,3.3,477,3k,38,67
2279,Thought Focus,3.3,476,3.5k,49,44
2280,Common Service Centres,4.4,476,1.2k,16,--
2281,Suzlon Global Services,3.8,475,1.3k,54,--
2282,Gopal Snacks Limited,4.2,475,1.2k,41,2
2283,Avery Dennison,3.7,474,2k,42,30
2284,Numeric UPS,3.9,474,1.2k,14,33
2285,Realty Assistant,3.6,474,679,51,16
2286,Prime Focus Technologies,3.1,473,2.2k,41,--
2287,ZF Friedrichshafen,3.8,473,2.1k,33,--
2288,Welspun Transformation Services Limited,4.0,473,815,49,--
2289,Onshore Construction,3.7,473,1.6k,31,8
2290,Keysight Technologies,3.8,473,2.6k,36,54
2291,Landis+Gyr,2.8,473,2.7k,34,49
2292,Clove Dental,4.1,473,1.3k,75,1
2293,Paradeep Phosphates,3.9,473,1.5k,61,2
2294,Central Public Works Department,4.1,473,1.3k,15,--
2295,Brainvire,3.0,473,1.7k,78,36
2296,Honda Logistics,3.6,473,1.5k,32,5
2297,Mediterranean Shipping Company,4.0,472,2.4k,26,--
2298,Sany Heavy Industry,3.7,472,1.9k,41,2
2299,Moon Beverages,3.9,472,1.6k,26,--
2300,Ramco Industries,4.0,472,1.8k,22,3
2301,Aludecor Lamination,3.9,472,1.7k,43,27
2302,Teradata,3.6,472,3.7k,62,22
2303,RND Softech,3.0,472,2k,42,--
2304,Technico Industries,3.5,472,2k,42,2
2305,Shalimar Paints,3.5,471,1.6k,31,7
2306,Sayaji Hotels,4.1,471,1k,14,1
2307,Star Bazaar,3.8,471,1.5k,22,--
2308,iNurture Education Solutions,2.5,471,1.4k,45,--
2309,Greenpanel Industries,3.9,471,1.8k,25,--
2310,Bhilosa Industries,3.7,471,2.2k,37,--
2311,Jindal Aluminium,3.9,470,1.9k,48,21
2312,Tata International,3.5,470,2.1k,24,17
2313,Oriental Structural Engineers,4.3,470,1.2k,10,2
2314,Samsung Display,3.8,470,2.2k,51,--
2315,Meghmani Organics,3.7,470,2.3k,46,4
2316,Cloud4C,3.5,470,3k,40,--
2317,Bahwan Engineering,4.0,470,990,25,1
2318,Nash Industries,3.4,470,2.3k,35,6
2319,Dana India,4.0,469,1.7k,38,6
2320,Gulf Oil Lubricants,4.1,469,1.7k,29,3
2321,Godrej Interio,3.8,469,2k,32,--
2322,Aditya Birla Housing Finance,3.8,469,1.7k,20,--
2323,Thales,3.6,469,3.4k,52,165
2324,Xanadu,3.7,469,1.9k,63,3
2325,Comcast,3.9,469,5.4k,94,1
2326,British Council,3.5,469,2k,27,20
2327,WM Universal Solutions Private Limited,3.6,469,2.2k,47,155
2328,MagicPin,2.5,469,1.9k,61,7
2329,Qcon,4.4,468,1.1k,42,--
2330,McNally Bharat Engineering,3.9,468,1.4k,13,1
2331,Paharpur Cooling Towers,3.9,468,1.9k,29,6
2332,Magneti Marelli Motherson Auto System,3.8,468,1.3k,24,--
2333,Visaka Industries,3.8,468,1.7k,31,17
2334,Saxo Bank,3.7,468,2.5k,72,11
2335,NBTC GROUP,3.2,467,1.1k,23,3
2336,Liberty General Insurance,3.7,467,1.9k,21,1
2337,Allied Blenders & Distillers,4.0,467,1.5k,21,1
2338,SBI Mutual Fund,3.7,469,1.8k,30,7
2339,Mediamint,2.8,467,3k,44,63
2340,Anthem Biosciences,3.9,467,2.6k,37,--
2341,Atyati Technologies,4.0,467,1.5k,34,1
2342,Marble Box,3.7,467,905,29,--
2343,Symphony,4.6,467,1.1k,63,1
2344,smartData Enterprises,2.9,465,1.6k,39,4
2345,Hyundai Glovis,3.7,466,1.9k,26,1
2346,CommScope,3.8,465,3.1k,41,10
2347,Cera Sanitaryware,4.0,465,1.7k,34,12
2348,GM Modular,3.8,464,1.9k,27,33
2349,Zaalima Development,4.3,464,12,158,--
2350,Yethi Consulting,3.4,463,3.3k,65,3
2351,Dow Chemical International Private Limited,3.6,464,2.3k,38,78
2352,CS TECH Ai,3.9,463,1.6k,39,--
2353,MKC Infrastructure Ltd.,3.5,463,1.4k,39,10
2354,Kaynes Technology,3.2,463,1.7k,51,7
2355,NKG Infrastructure,3.2,463,1.4k,27,8
2356,Jupiter Hospital,3.9,465,1.6k,23,8
2357,Revent Group,3.8,462,717,17,--
2358,GHCL Limited,3.9,462,1.6k,37,7
2359,Essjay Ericsson,4.2,462,874,11,--
